Pos.							URL
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
47µF 16V Tantal Kondensator 3528 (B 16V47UF 476)	https://de.aliexpress.com/item/4001241518347.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
Step-Down Modul Mini360					https://de.aliexpress.com/item/4001080047766.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
AO3400 Mosfet SOT23					https://de.aliexpress.com/item/4001035147965.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
100k 0603 SMD Widerstand				https://de.aliexpress.com/item/32858644837.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
100nF 0805 SMD Kondensator				https://de.aliexpress.com/item/32964553793.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
330R 0603 SMD Widerstand				https://de.aliexpress.com/item/32858644837.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
10k 0603 SMD Widerstand					https://de.aliexpress.com/item/32858644837.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
ESP12F							https://www.aliexpress.com/item/-/4000539532547.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
DC Jack Female						https://de.aliexpress.com/item/32966940042.html?spm=a2g0s.8937460.0.0.41b92e0eFXfjOQ
